longitude,latitude,AnnualTs
-91.06263924,32.99569395,19.95318794
-90.52097258,32.86236062,18.59547234
-90.92930591,32.75402729,20.21343422
-106.6959725,32.55402729,20.50769234
-85.7459726,32.43736062,20.30630684
-85.91263927,32.41236062,19.72049141
-86.88763926,32.40402729,20.08307648
-98.19597255,32.24569396,19.38845825
-100.5043059,31.54569396,19.26042557
-83.54597261,31.50402729,21.10122299
-96.87930589,31.47902729,21.09256935
-87.55430593,31.11236063,20.43441582
-85.03763927,31.02069396,20.54716492
-87.69597259,30.52069396,21.641222
-88.73763925,30.47069396,20.98030472
79.13736007,30.27069396,9.323866844
-95.97930589,30.08736063,21.0161438
-81.62930595,29.1040273,23.76735878
114.6040266,28.5790273,11.1675005
114.6040266,28.57069397,12.45306969
114.5873599,28.56236064,14.52953243
114.5956933,28.56236064,13.84866238
114.5706933,28.5540273,14.82526875
114.5873599,28.5540273,14.9976759
114.5956933,28.5540273,14.25029659
-16.45430621,28.38736064,11.65911484
-16.44597288,28.38736064,13.39644909
-16.42930621,28.38736064,14.84800053
-16.43763954,28.3790273,13.57291508
-16.42930621,28.3790273,15.79820728
-16.42097288,28.3790273,20.61875153
-16.42930621,28.37069397,20.30797195
-16.46263954,28.36236064,11.35717773
-16.42930621,28.36236064,19.42141724
-16.42930621,28.3540273,19.7368145
-16.41263954,28.3540273,22.78414154
-16.48763954,28.33736064,13.29389191
-16.41263954,28.3290273,23.24343872
-16.39597288,28.31236064,24.99722862
-16.52097288,28.3040273,15.52944088
-16.37930621,28.3040273,25.96826553
-16.75430621,28.2790273,19.73078537
-16.74597288,28.27069397,18.96469116
-16.73763954,28.27069397,18.28827667
-16.72930621,28.27069397,18.61748505
-16.72097288,28.26236064,19.10726547
-16.61263954,28.26236064,18.90042877
-16.77097288,28.2540273,17.10882759
-16.71263954,28.2540273,16.73392105
-16.62097288,28.2540273,17.58158684
-16.61263954,28.2540273,14.55539417
-16.78763954,28.23736064,20.74230385
-16.76263954,28.23736064,18.09662628
-16.79597288,28.2290273,24.26632118
-16.78763954,28.2290273,22.68390465
-16.77097288,28.2290273,17.8657093
-16.75430621,28.2290273,19.65884972
-16.69597288,28.2290273,13.9400835
-16.62930621,28.2290273,15.14497948
-16.79597288,28.22069397,24.1511631
-16.67930621,28.22069397,15.46897411
-16.79597288,28.21236064,23.69256401
-16.63763954,28.21236064,14.69783592
-16.79597288,28.19569397,24.67240524
-16.80430621,28.18736064,28.83156967
-16.65430621,28.1790273,17.18995667
-16.64597288,28.1790273,15.97549343
-16.64597288,28.17069397,15.49849033
-16.62930621,28.14569397,19.60624886
-16.59597288,28.12902731,18.99176598
-16.58763954,28.12069397,19.57025337
-16.57930621,28.11236064,20.50477791
-16.57930621,28.09569397,22.19890404
-16.56263954,28.08736064,23.67484093
-16.54597288,28.03736064,24.2177887
121.5206932,24.37902732,9.409220695
121.5040266,24.34569399,8.411943436
121.3123599,24.32069399,8.256583214
121.3123599,24.30402732,7.89071846
121.4290266,24.29569399,6.737369061
121.5123599,24.27902732,6.091386318
121.4790266,24.20402732,7.360126495
121.3706932,24.19569399,7.602020741
121.4290266,24.15402732,7.688983917
-155.537639,19.95402734,16.36333275
-155.587639,19.91236067,16.8809166
-155.3293057,19.79569401,11.68099499
-155.4209723,19.76236067,12.8122921
-67.04597267,18.47069401,26.12408257
-67.00430601,18.15402735,20.25254822
-66.76263934,18.15402735,21.23348045
-67.16263934,17.98736068,26.80784416
-64.79597268,17.72069401,27.7502079
-15.42930621,15.40402736,32.13408279
-16.45430621,14.49569403,31.12744713
30.47902694,13.27902736,32.98576355
-83.72930594,9.937360711,21.71615791
-2.604306265,6.520694058,27.27837753
-77.54597263,-0.829305912,17.71043587
23.5623603,-19.91263917,25.33740425
118.7540266,-22.82930582,30.420084
-48.72930608,-22.97097249,20.11075211
118.7956932,-22.97097249,29.39150238
118.9540266,-23.09597249,30.08872414
119.1373599,-23.12097249,29.0977726
